"no","universitas"
"215","Institut Keguruan dan Ilmu Pendidikan Mataram"
"216","Institut Keguruan dan Ilmu Pendidikan PGRI Pontianak"
"217","Institut Keguruan dan Ilmu Pendidikan Saraswati, Tabanan"
"218","Institut Keguruan dan Ilmu Pendidikan Siliwangi"
"219","Institut Kesehatan Helvetia"
"220","Institut Kesehatan Indonesia"
"221","Institut Kesehatan Medistra Lubuk Pakam"
"222","Institut Keuangan Perbankan dan Informatika Asia Perbanas"
"223","Institut Kristen Borneo"
"224","Institut Manajemen Koperasi Indonesia"
"225","Institut Manajemen Wiyata Indonesia"
"226","Institut Pembina Rohani Islam Jakarta"
"227","Institut Pemerintahan Dalam Negeri"
"228","Institut Pendidikan Indonesia Garut"
"229","Institut Pendidikan Tapanuli Selatan"
"230","Politeknik Kent"
"231","Institut Pertanian Malang"
"232","Institut Sains dan Teknologi AKPRIND"
"233","Institut Sains dan Teknologi Nasional"
"234","Institut Sains dan Teknologi Td Pardede"
"235","Institut Seni Indonesia Denpasar"
"236","Institut Seni Indonesia Yogyakarta"
"237","Institut Studi Islam Darussalam Gontor"
"239","Institut Teknologi Del"
"240","Institut Teknologi Kreatif Bina Nusantara Malang"
"241","Institut Teknologi Nasional Malang"
"242","Institut Teknologi Padang"
"243","Institut Teknologi Sains Bandung"
"244","Institut Teknologi Sepuluh Nopember"
"245","Institut Teknologi Telkom Bandung"
"246","Institut Teknologi Telkom Purwokerto"
"247","Institut Teknologi Yogyakarta"
"248","Politeknik 17 Agustus 1945 Surabaya"
"249","Politeknik Aceh Selatan"
"250","Politeknik Anika Palembang"
"251","Politeknik Baja Tegal"
"252","Politeknik Balekambang Jepara"
"253","Politeknik Banjarnegara"
"254","Politeknik Baubau"
"255","Politeknik Bentara Citra Bangsa"
"256","Politeknik Bina Trada Semarang"
"257","Politeknik Bisnis dan Pasar Modal"
"258","Politeknik Bisnis Lamda"
"259","Politeknik Caltex"
"260","Politeknik Darma Ganesha"
"261","Politeknik Geologi dan Pertambangan Agp"
"262","Politeknik Ilmu Pelayaran Makassar"
"263","Politeknik Indonusa Surakarta"
"264","Politeknik Informatika Nasional"
"265","Politeknik Islam Syekh Salman Al-Farisi Rantau"
"266","Politeknik Kemenkes Bengkulu"
"267","Sekolah Tinggi Agama Islam Nida El Adabi Parung Panjang Bogor"
"268","Politeknik Kesehatan Bhakti Pertiwi Husada"
"269","Politeknik Kesehatan Majapahit"
"270","Politeknik Kesehatan RS Dr Soepraoen Kesdam V"
"271","Politeknik Kesehatan TNI AU Ciumbuleuit"
"272","Politeknik Kesehatan YRSU Dr Rusdi"
"273","Politeknik Komputer Niaga Lpkia"
"274","Politeknik Kota Malang"
"275","Politeknik Kutaraja"
"276","Politeknik LP3I Bandung"
"277","Politeknik LP3I Jakarta"
"278","Politeknik LP3I Medan"
"279","Politeknik LPP Yogyakarta"
"280","Politeknik Ma arif"
"281","Politeknik Malinau"
"282","Politeknik Mandiri Bina Prestasi"
"283","Politeknik Manufaktur Astra"
"284","Politeknik Manufaktur Ceper"
"285","Politeknik Medica Farma Husada Mataram"
"286","Politeknik Meta Industri Cikarang"
"287","Politeknik Muara Dua"
"288","Politeknik Muara Teweh"
"289","Politeknik Negeri Jakarta"
"290","Politeknik Negeri Malang"
"291","Politeknik Negeri Samarinda"
"292","Politeknik Negeri Sriwijaya"
"293","Politeknik Negeri Ujung Pandang"
"294","Politeknik Orang Tua"
"295","Politeknik Pajajaran Insan Cinta Bangsa Bandung"
"296","Politeknik Palcomtech"
"297","Politeknik Palu"
"298","Politeknik Pariwisata Batam"
"299","Politeknik Perdamaian Halmahera"
"300","Politeknik Perdana Mandiri"
"301","Politeknik Perkapalan Negeri Surabaya"
"302","Politeknik Pertanian dan Peternakan Mapena"
"303","Politeknik Pertanian Negeri Kupang"
"304","Politeknik Pertanian Negeri Pangkajene dan Kepulauan"
"305","Politeknik Pertanian Negeri Samarinda"
"306","Politeknik Pertanian Yasanto"
"307","Politeknik PGRI Banten"
"308","Politeknik Piksi Ganesha"
"309","Politeknik Piksi Input Serang"
"310","Politeknik Poliprofesi Medan"
"311","Politeknik Pos Indonesia"
"312","Politeknik Praktisi Bandung"
"313","Politeknik Pratama"
"314","Politeknik Putra Bangsa Pontianak"
"315","Politeknik Santo Paulus Surakarta"
"316","Politeknik Sawunggalih Aji"
"317","Politeknik Sekayu"
"318","Politeknik Sendawar"
"319","Politeknik ST. Wilhelmus"
"320","Politeknik Tri Mitra Karya Mandiri"
"321","Politeknik Triguna Tasikmalaya"
"322","Politeknik Unggul LP3M"
"323","Politeknik Unggulan Kalimantan"
"324","Politeknik Unggulan Sragen"
"325","Politenik Kesehatan Yapkesbi Sukabumi"
"326","Sekolah Tinggi Agama Hindu Negeri GDE Pudja Mataram"
"327","Sekolah Tinggi Agama Hindu Negeri Tampung Penyang Palangkaraya"
"328","Sekolah Tinggi Agama Islam (YAPTIP) Pasaman Barat"
"329","Sekolah Tinggi Agama Islam Al‐Azhar Lubuklinggau"
"330","Sekolah Tinggi Agama Islam Al‐Falah Banjarbaru"
"331","Sekolah Tinggi Agama Islam An‐Nawawi Purworejo"
"332","Sekolah Tinggi Agama Islam At‐Tanwir Bojonegoro"
"333","Sekolah Tinggi Agama Islam Auliaurrasyidin Tembilahan"
"334","Sekolah Tinggi Agama Islam Azziyadah"
"335","Sekolah Tinggi Agama Islam Badrus Sholeh Purwosari Kediri"
"336","Sekolah Tinggi Agama Islam Bakti Negara"
"337","Sekolah Tinggi Agama Islam Balikpapan"
"338","Sekolah Tinggi Agama Islam Bani Saleh"
"339","Sekolah Tinggi Agama Islam Barumun Raya"
"340","Sekolah Tinggi Agama Islam Bunga Bangsa"
"341","Sekolah Tinggi Agama Islam Bustanul Ulum"
"342","Sekolah Tinggi Agama Islam Cirebon"
"343","Sekolah Tinggi Agama Islam Darud Da'wah Wal Irsyad"
"344","Sekolah Tinggi Agama Islam Darul Arafah Lau Bakeri Deli Serdang"
"345","Sekolah Tinggi Agama Islam Darul Hikmah"
"346","Sekolah Tinggi Agama Islam Darul Ulum Kandangan"
"347","Sekolah Tinggi Agama Islam Darussalam Lampung"
"348","Sekolah Tinggi Agama Islam Darussalam Martapura"
"349","Sekolah Tinggi Agama Islam Denpasar"
"350","Sekolah Tinggi Agama Islam Diniyah"
