"no","universitas"
"1123","Universitas Muhammadiyah Buton"
"1124","Universitas Muhammadiyah Jakarta"
"1125","Universitas Muhammadiyah Jember"
"1126","Universitas Muhammadiyah Kalimantan Timur"
"1127","Universitas Muhammadiyah Kendari"
"1128","Universitas Muhammadiyah Kupang"
"1129","Universitas Muhammadiyah Magelang"
"1130","Universitas Muhammadiyah Makassar"
"1131","Universitas Muhammadiyah Malang"
"1132","Universitas Muhammadiyah Palembang"
"1133","Universitas Muhammadiyah Pare‐Pare"
"1134","Universitas Muhammadiyah Pontianak"
"1135","Universitas Muhammadiyah Prof. DR. Hamka"
"1136","Universitas Muhammadiyah Purworejo"
"1137","Universitas Muhammadiyah Sidoarjo"
"1138","Universitas Muhammadiyah Sumatera Barat"
"1139","Universitas Muhammadiyah Sumatera Utara"
"1140","Universitas Muhammadiyah Surabaya"
"1141","Universitas Muhammadiyah Surakarta"
"1142","Universitas Muhammadiyah Tangerang"
"1143","Universitas Muhammadiyah Tapanuli Selatan"
"1144","Universitas Mulawarman"
"1145","Universitas Musamus Merauke"
"1146","Universitas Musi Rawas"
"1147","Universitas Muslim Maros"
"1148","Universitas Nahdlatul Ulama Blitar"
"1149","Universitas Nahdlatul Ulama Cirebon"
"1150","Universitas Nahdlatul Ulama Indonesia"
"1151","Universitas Nahdlatul Ulama Kalimantan Barat"
"1152","Universitas Nahdlatul Ulama Kalimantan Selatan"
"1153","Universitas Nahdlatul Ulama Kalimantan Timur"
"1154","Universitas Nahdlatul Ulama Lampung"
"1155","Universitas Nahdlatul Ulama Purwokerto"
"1156","Universitas Nahdlatul Ulama Sumatera Barat"
"1157","Universitas Nahdlatul Ulama Sumatera Utara"
"1158","Universitas Nahdlatul Ulama Sunan Giri"
"1159","Universitas Nahdlatul Ulama Surabaya"
"1160","Universitas Nahdlatul Ulama Surakarta"
"1161","Universitas Nahdlatul Ulama Wathan Mataram"
"1162","Universitas Nahdlatul Ulama Yogyakarta"
"1163","Universitas Nani Bili Nusantara"
"1164","Universitas Narotama"
"1165","Universitas Nasional Karangturi Semarang"
"1166","Universitas Nasional Pasim"
"1167","Universitas Negeri Gorontalo"
"1168","Universitas Negeri Jakarta"
"1169","Universitas Negeri Makassar"
"1170","Universitas Negeri Malang"
"1171","Universitas Negeri Manado"
"1172","Universitas Negeri Medan"
"1173","Universitas Negeri Padang"
"1174","Universitas Negeri Semarang"
"1175","Universitas Negeri Surabaya"
"1176","Universitas Negeri Yogyakarta"
"1177","Universitas Ngurah Rai"
"1178","Universitas Nuku"
"1179","Universitas Nurtanio"
"1180","Universitas Nurul Jadid"
"1181","Universitas Nusa Lontar"
"1182","Universitas Nusa Nipa"
"1183","Universitas Nusa Tenggara Barat"
"1184","Universitas Nusantara Manado"
"1185","Universitas Nusantara PGRI Kediri"
"1186","Universitas Ottow Geissler"
"1187","Universitas Padjadjaran"
"1188","Universitas Pertahanan"
"1189","Universitas Pawyatan Daha"
"1190","Universitas Pejuang Republik Indonesia Makassar"
"1191","Universitas Pekalongan"
"1192","Universitas Pelita Harapan Surabaya"
"1193","Universitas Pembangunan Indonesia"
"1194","Universitas Pembangunan Nasional Veteran Jakarta"
"1195","Universitas Pembangunan Nasional Veteran Surabaya"
"1196","Universitas Pembangunan Panca Budi"
"1197","Universitas Pembinaan Masyarakat Indonesia"
"1198","Universitas Pendidikan Ganesha"
"1199","Universitas Pendidikan Indonesia"
"1200","Universitas Pendidikan Nasional"
"1201","Universitas Pepabri Makassar"
"1202","Universitas Peradaban"
"1203","Universitas Perjuangan Tasikmalaya"
"1204","Universitas Persada Indonesia Yai"
"1205","Universitas Pertamina"
"1206","Universitas Pesantren Tinggi Darul ' Ulum Jombang"
"1207","Universitas PGRI Banyuwangi"
"1208","Universitas PGRI Madiun"
"1209","Universitas PGRI Palangka Raya"
"1210","Universitas PGRI Semarang"
"1211","Universitas PGRI Yogyakarta"
"1212","Universitas Potensi Utama"
"1213","Universitas Prasetiya Mulya"
"1214","Universitas Presiden"
"1215","Universitas Prisma"
"1216","Universitas Prof Dr. Hazairin SH"
"1217","Universitas Prof. Dr. Moestopo (Beragama)"
"1218","Universitas Proklamasi 45 Yogyakarta"
"1219","Universitas Putra Indonesia"
"1220","Universitas Qamarul Huda Badaruddin Bagu"
"1221","Universitas Respati Indonesia"
"1222","Universitas Respati Yogyakarta"
"1223","Universitas Sahid"
"1224","Universitas Sains Al Qur`an"
"1225","Universitas Sains Cut Nyak Dhien"
"1226","Universitas Sains dan Teknologi Jayapura"
"1227","Universitas Sam Ratulangi"
"1228","Universitas San Pedro"
"1229","Universitas Sang Bumi Ruwa Jurai"
"1230","Universitas Sangga Buana"
"1231","Universitas Sari Mutiara Indonesia Medan"
"1232","Universitas Sari Putra Indonesia Tomohon"
"1233","Universitas Satya Wiyata Mandala"
"1234","Universitas Satyagama"
"1235","Universitas Sawerigading Makassar"
"1236","Universitas Setia Budi Surakarta"
"1237","Universitas Simalungun"
"1238","Universitas Sisingamangaraja XII"
"1239","Universitas Sisingamangaraja XII Tapanuli Utara"
"1240","Universitas Soerjo"
"1241","Universitas Sriwijaya"
"1242","Universitas STIKUBANK"
"1243","Universitas Subang"
"1244","Universitas Sulawesi Tenggara"
"1245","Universitas Sunan Bonang"
"1246","Universitas Surakarta"
"1247","Universitas Surapati"
"1248","Universitas Surya Bogor"
"1249","Universitas Suryadarma"
"1250","Universitas Suryakancana"
"1251","Universitas Tabanan"
"1252","Universitas Tama Jagakarsa"
"1253","Universitas Tamansiswa"
"1254","Universitas Tanjungpura"
"1255","Universitas Tanri Abeng"
"1256","Universitas Teknologi Indonesia"
"1257","Universitas Teknologi Nusantara Cilegon"
"1258","Universitas Teknologi Sumbawa"
"1259","Universitas Teknologi Surabaya"
"1260","Universitas Teknologi Yogyakarta"
"1261","Universitas Timika"
"1262","Universitas Tjut Nyak Dhien"
"1263","Universitas Tomakaka"
"1264","Universitas Tribhuwana Tungga Dewi"
"1265","Universitas Tribuana Kalabahi"
"1266","Universitas Tridinanti"
"1267","Universitas Trilogi"
"1268","Universitas Trisakti"
"1269","Universitas Trunojoyo"
"1270","Universitas Tulang Bawang"
"1271","Universitas Tunas Pembangunan"
"1272","Universitas Victory Sorong"
"1273","Universitas Wahid Hasyim"
"1274","Universitas Wahidiyah"
"1275","Universitas Wanita Internasional"
"1276","Universitas Widya Dharma Klaten"
"1277","Universitas Widya Gama"
"1278","Universitas Widya Mataram"
"1279","Universitas Widyatama"
"1280","Universitas Wijaya Kusuma Purwokerto"
"1281","Universitas Wiralodra"
"1282","Universitas Wiraraja"
"1283","Universitas Wisnuwardhana"
"1284","Universitas Yapis Papua"
"1285","Universitas Yos Sudarso"
"1286","Universitas Kristen Papua"
"1287","Universitas Islam Nusantara"
"1288","Universitas Ngudi Waluyo"
"1289","Universitas Sarjanawiyata Tamansiswa"
"1290","Universitas Tulungagung"
"1291","Universitas Muhammadiyah Yogyakarta"
"1292","Universitas Hamzanwadi"
"1293","Universitas Muhammadiyah Sorong"
"1294","Universitas Mahasaraswati Denpasar"
"1295","Universitas Bung Karno"
"1296","Universitas Udayana"
"1297","Universitas Indonesia"
"1298","Universitas Nusa Bangsa"
"1299","Universitas Islam Lamongan"
"1300","Universitas Cokroaminoto Palopo"
"1301","Universitas Bunda Mulia"
"1302","Universitas Universal"
"1303","Universitas Satya Negara"
"1304","Universitas Buana Perjuangan Karawang"
"1305","Universitas Palangka Raya"
"1306","Universitas Katolik Widya Karya"
"1307","Universitas Sunan Giri Surabaya"
"1308","Universitas Informatika dan Bisnis Indonesia"
"1309","Universitas BSI"
"1310","Universitas Swiss German"
"1311","Universitas Wiraswasta Indonesia"
"1312","Universitas Samawa"
"1313","Universitas Islam Bandung"
"1314","Universitas Telkom"
"1315","Universitas Sultan Ageng Tirtayasa"
"1316","Universitas Patria Artha"
"1317","Universitas Syiah Kuala"
"1318","Universitas Islam Negeri Sulthan Syarif Kasim Riau"
"1319","Universitas Islam Ogan Komering Ilir Kayuagung"
"1320","Institut Agama Islam Negeri Bukittinggi"
"1321","Politeknik API Yogyakarta"
"1322","Institut Teknologi Nasional Bandung"
"1323","Politeknik Akamigas Palembang"
"1324","Institut Sains dan Teknologi Indonesia Manokwari"
"1325","Institut Sains dan Teknologi Al-Kamal"
"1326","Institut Sains dan Teknologi Pembangunan Indonesia"
"1327","Institut Teknologi Adhi Tama Surabaya"
"1328","Institut Keguruan dan Ilmu Pendidikan PGRI Bojonegoro"
"1329","Sekolah Tinggi Ilmu Komputer Ambon"
"1330","STMIK Balikpapan"
"1331","STIKES Baiturrahim"
"1332","STIE Pembangunan Tanjungpinang"
"1333","Sekolah Tinggi Perikanan dan Kelautan Palu"
"1334","STIE Profesional Indonesia"
"1335","STKIP Yapis Dompu"
"1336","STKIP Muhammadiyah Rappang"
"1337","STIE Bisnis Indonesia"
"1338","Sekolah Tinggi Teknik Lingkungan Mataram"
"1339","Sekolah Tinggi Teknologi Nasional Yogyakarta"
"1340","Sekolah Tinggi Ilmu Manajemen Sukma"
"1341","STIE Nusa Megar Kencana"
"1342","STIE Nasional Banjarmasin"
"1343","STIE Widya Gama"
"1344","STIKES Al Ma`arif"
"1345","STMIK Jakarta STIdanK"
"1346","STMIK Subang"
"1347","STIE Yapi Bone"
"1348","STIE Dewantara"
"1349","STIE Indocakti"
"1350","STIE Isti Ekatana Upaweda"
"1351","STIH Tambun Bungai"
"1352","STIH Painan"
"1353","STIE Krakatau"
"1354","Universitas Adiwangsa Jambi"
"1355","STIE Muara Teweh"
"1356","STIE Jambatan Bulan"
"1357","STIH dan Politik Palu"
"1358","STIE Muhammadiyah Palopo"
"1359","STKIP Persada Khatulistiwa Sintang"
"1360","Sekolah Tinggi Ilmu Sosial dan Politik Amal Ilmiah Yapis Wamena"
"1361","STIKES Aisyah Pringsewu"
"1362","Sekolah Tinggi Ilmu Pertanian Muhammadiyah Sinjai"
"1363","STIE Wibawa Karta Raharja"
"1364","STIE Putra Timor"
"1365","Sekolah Tinggi Ilmu Kehutanan Pante Kulu"
"1366","STIE Latifah Mubarokiyah"
"1367","Sekolah Tinggi Teknik Industri Turen"
"1368","STIE Dr Moechtar Talib"
"1369","STIE Asia Malang"
"1370","STIE Jayakarta"
"1371","Universitas Al Muslim"
"1372","STIKESMAS Widya Dharma Palembang"
"1373","STMIK Pro Visi Semarang"
"1374","Sekolah Tinggi Teknologi Gempol"
"1375","STMIK Mikroskil"
"1376","STMIK Potensi Utama"
"1377","Sekolah Tinggi Teologi Jemaat Kristus Indonesia"
"1378","STIKES Flora"
"1379","STMIK Nusa Mandiri Sukabumi"
"1380","STKIP Ahlussunnah"
"1381","STIE Bhakti Pembangunan"
"1382","STKIP Muhammadiyah Bogor"
"1383","STIKES Tanawali Persada"
"1384","STIE Labuhan Batu"
"1385","STMIK Widya Utama"
"1386","Sekolah Tinggi Ilmu Komunikasi Wangsa Jaya"
"1387","STIE Pelita Nusantara"
"1388","STKIP Situs Banten di Serang"
"1389","STMIK Pranata Indonesia"
"1390","Universitas Al Washliyah"
"1391","STIA dan Pemerintahan Annisa Dwi Salfarizi, Palembang"
"1392","STIKES Widya Cipta Husada"
"1393","STIKES Insan Se Agung"
"1394","STIE St Pignatelli"
"1395","STIE Nias Selatan"
"1396","STIKES Ranah Minang"
"1397","STKIP Muhammadiyah Enrekang"
"1398","STIKES Binalita Sudama"
"1399","Universitas 45 Surabaya"
"1400","STIPER Agrobisnis Perkebunan"
"1401","Sekolah Tinggi Maritim dan Transpor AMNI"
"1402","STIM Lasharan Jaya Makassar"
"1403","STIKES Amanah Makassar"
"1404","Sekolah Tinggi Agama Islam Al‐Mawaddah Warrahmah Kolaka"
"1405","STIKES RS Baptis Kediri"
"1406","STISIP Syamsul Ulum"
"1407","STMIK Sinar Nusantara"
"1408","STIKES Widya Husada Medan"
"1409","STIKES Hang Tuah"
"1410","STIKES Yarsi Mataram"
"1411","STIKES Yatsi"
"1412","STIE Serelo Lahat"
"1413","STKIP Tunas Palapa"
"1414","STIKES Purna Bhakti Husada Batusangkar"
"1415","STIKES Panrita Husada"
"1416","STIKES Bina Sehat PPNI Mojokerto"
"1417","STKIP Media Nusantara Citra"
"1418","Akademi Refraksi Optisi Leprindo Jakarta"
"1419","Akademi Minyak dan Gas Balongan"
"1420","Akademi Analis Farmasi Al-Islam"
"1421","Akademi Pariwisata Majapahit"
"1422","Akademi Tata Boga Bandung"
"1423","Akademi Teknik Tirta Wiyata"
"1424","Akademi Maritim Nusantara Cilacap"
"1425","Akademi Seni dan Desain Indonesia Surakarta"
"1426","Akademi Perbankan Yuki"
"1427","AKPER Gita Matura Abadi Kisaran"
"1428","AMIK Tri Dharma Palu"
"1429","AMIK Taruna"
"1430","Akademi Pariwisata Tridaya"
"1431","AMIK YMI Tegal"
"1432","Akademi Farmasi Jember"
"1433","Akademi Kebidanan Panca Bhakti Pontianak"
"1434","AMIK Lampung"
"1435","Institut Agama Islam Daar Al Uluum Asahan"
"1436","AMIK Polibisnis Medan"
"1437","Akademi Manajemen Perusahaan Jayabaya"
"1438","Akademi Kebidanan Sinar Kasih Toraja"
"1439","Akademi Teknik PIKA"
"1440","Akademi Kebidanan Ibtisam Aulia"
"1441","Akademi Kebidanan Madani Sinjai"
"1442","Akademi Kebidanan Bakti Utama Pati"
"1443","ASM Marsudirini Santa Maria"
"1444","Akademi Kebidanan Borneo Medistra"
"1445","Akademi Kebidanan Imam Bonjol"
"1446","Akademi Kebidanan Delima"
"1447","Akademi Keperawatan Yapenas 21 Maros"
"1448","AMIK Kosgoro"
"1449","Akademi Keperawatan Yappkes Aceh Singkil"
"1450","Akademi Kebidanan Siti Fatimah"
"1451","Akademi Manajemen Rumah Sakit Kusuma Husada"
"1452","Akademi Keperawatan Kebonjati"
"1453","Akademi Kebidanan Jayakarta Sehat"
"1454","Akademi Kebidanan Masamba"
"1455","Institut Agama Islam Al Muslim Aceh"
"1456","Akademi Kebidanan Suluh Bangsa"
"1457","Akademi Kebidanan Adhira Mustika Gayo"
"1458","Akademi Kebidanan Aisyiyah Palembang"
"1459","Akademi Keperawatan RS Efarina"
"1460","Akademi Sekretari dan Manajemen Indonesia Airlangga Balikpapan"
"1461","Akademi Keperawatan Dharma Wacana"
"1462","Akademi Teknik Pratama Makale"
"1463","Akademi Kebidanan Audi Husada Medan"
"1464","Akademi Pariwisata Pertiwi"
"1465","Akademi Keperawatan Justitia"
"1466","Akademi Kebidanan Darul Husada"
"1467","Akademi Kebidanan Husada Gemilang"
"1468","Akademi Keperawatan Fatima Pare-pare"
"1469","Akademi Keperawatan Al-Ikhlas Cisarua"
"1470","Akademi Kebidanan Harapan Ibu Langsa"
"1471","Akademi Kebidanan Islam Al-hikmah"
"1472","Akademi Kebidanan Bunda Kotamobagu"
"1473","Akademi Kebidanan Soko Tunggal"
"1474","Akademi Kebidanan Laksamana"
"1475","AMIK BSI Purwokerto"
"1476","AMIK Al-Muslim Bekasi"
"1477","Akademi Kebidanan Medika Wiyata Kediri"
"1478","Akademi Komunikasi Radya Binatama"
"1479","Akademi Kebidanan Wahana Sehat Sidoarjo"
"1480","Akademi Kebidanan Muslimat Nahdlatul Ulama Kudus"
"1481","Akademi Kebidanan Palapa Husada"
"1482","Akademi Kebidanan Deli Husada Delitua Medan"
"1483","Akademi Kebidanan Medica Alas Leuser"
"1484","Akademi Kebidanan Internasional Pekanbaru"
"1485","Akademi Kebidanan Bina Nusantara Mandiri"
"1486","Akademi Kebidanan Dharma Praja Bondowoso"
"1487","Akademi Kebidanan Bhakti Asih Purwakarta"
"1488","Akademi Kebidanan Bakti Indonesia Balikpapan"
"1489","Akademi Kebidanan Heppy Zal"
"1490","Akademi Kebidanan Sentral"
"1491","Akademi Akuntansi Riau"
"1492","Akademi Keperawatan Bethesda Serukam"
"1493","AMIK BSI Tasikmalaya"
"1494","Akademi Kebidanan Pelamonia Kesdam VIIWirabuana"
"1495","Akademi Perpajakan Tridarma Lampung"
"1496","Akademi Keperawatan Jabal Ghafur"
"1497","Akademi Kebidanan Pelita Ibu Kendari"
"1498","Akademi Keperawatan Fatima Mamuju"
"1499","Akademi Keperawatan Dharma Husada Kediri"
"1500","Akademi Keperawatan Toraya"
"1501","Akademi Keperawatan Muhammadiyah Makassar"
"1502","Akademi Kebidanan Lapatau Bone Watampone"
"1503","Akademi Kebidanan Sumatera Barat"
"1504","AMIK Sigma"
"1505","Akademi Keperawatan Yappi Sragen"
"1506","Akademi Kebidanan Bakti Nusantara Rantepao"
"1507","Akademi Keperawatan Sehat Binjai"
"1508","Akademi Keperawatan Andalusia Jakarta"
"1509","Akademi Keperawatan Lapatau Bone Watampone"
"1510","Akademi Keperawatan Kharisma Gowa Raya"
"1511","Akademi Keperawatan Kosgoro Mojokerto"
"1512","Akademi Fisioterapi Harapan Bangsa Banda Aceh"
"1513","Akademi Keperawatan Takasima Kabanjahe"
"1514","Akademi Keperawatan Kaltara"
"1515","Akademi Keperawatan YKY Yogyakarta"
"1516","Akademi Kebidanan Dharma Husada Pekanbaru"
"1517","Akademi Keperawatan Fatmawati"
"1518","Akademi Keperawatan Pamenang"
"1519","Akademi Kebidanan Mitra Syuhada Padangsidimpuan"
"1520","Akademi Keperawatan Bina Insani Sakti"
"1521","Institut Agama Islam Negeri Bengkulu"
"1522","Akademi Perikanan Bhima Sakti"
"1523","Sekolah Tinggi Agama Islam Al‐Azhar Menganti Gresik, Gresik"
"1524","Politeknik Kampar"
"1525","Politeknik Negeri Bengkalis"
"1526","Politeknik Stibisnis"
"1527","Politeknik Negeri Ambon"
"1528","Politeknik Ubaya"
"1529","Sekolah Tinggi Agama Buddha Negeri Sriwijaya"
"1530","Politeknik Mitra Karya Mandiri"
"1531","Politeknik Kesehatan Kemenkes Manado"
"1532","Politeknik Halmahera"
"1533","Politeknik Katolik Saint Paul"
"1534","Sekolah Tinggi Agama Islam Al-Hikmah Jakarta"
"1535","Akademi Akuntansi Al Fatah"
"1536","Akademi Akuntansi dan Manajemen Mitra Lampung"
"1537","Akademi Bahasa Asing Colorado Samarinda"
"1538","Akademi Bahasa Asing Internasional Bandung"
"1539","Akademi Bahasa Asing Nasional Jakarta"
"1540","Akademi Kebidanan Aisyiyah Pontianak"
"1541","Akademi Kebidanan Ar-Rahmah Bandung"
"1542","Akademi Kebidanan Batari Toja"
"1543","Akademi Kebidanan Harapan Keluarga"
"1544","Akademi Kebidanan Inau"
"1545","Akademi Kebidanan Medica Putro Bungsu"
"1546","Akademi Kebidanan Nyai Ahmad Dahlan"
"1547","Akademi Kebidanan Paramata Raha"
"1548","Akademi Kebidanan Patriot Bangsa Husada"
"1549","Akademi Kebidanan Permata Husada Samarinda"
"1550","Akademi Kebidanan Prima Jambi"
"1551","Akademi Kebidanan YAPKESBI Banjarbaru"
"1552","Akademi Kebidanan Yayasan Pendidikan Mona"
"1553","Akademi Keperawatan Bahrul Ulum Jombang"
"1554","Akademi Keperawatan Bhakti Kencana Bandung"
"1555","Akademi Keperawatan Dian Husada"
"1556","Akademi Keperawatan Hafshawaty Zainul Hasan"
"1557","Akademi Keperawatan Makasar"
"1558","Akademi Keperawatan Muhammadiyah Kendal"
"1559","Akademi Keperawatan Pemerintah Kab Purworejo"
"1560","Akademi Keperawatan Pemerintah Kabupaten Ngawi"
"1561","Akademi Keperawatan Rantepao"
"1562","Akademi Keuangan dan Perbankan ICM Cantrika Mitra"
"1563","Akademi Kimia Analis Caraka Nusantara"
"1564","Akademi Kuliner dan Patiseri Ottimmo Internasional"
"1565","Akademi Manajemen Koperasi Tantular"
"1566","Akademi Manajemen Putra Jaya"
"1567","Akademi Maritim Nusantara Malahayati"
"1568","Akademi Pembangunan Pertanian Lubuk Alung"
"1569","Akademi Perdagangan Catur Insan Cendekia"
"1570","Akademi Sekretari Saint Theresia"
"1571","AKPER Putra Pertiwi Watansoppeng"
"1572","AMIK BSI Bandung"
"1573","AMIK BSI Bekasi"
"1574","AMIK BSI Karawang"
"1575","AMIK BSI Yogyakarta"
"1576","AMIK Catur Sakti Kendari"
"1577","AMIK Citra Buana Indonesia"
"1578","AMIK Mitra Gama"
"1579","AMIK Mitra Lampung"
"1580","AMIK Tomakaka"
"1581","AMIK Wahana Mandiri Tangerang"
"1582","Institut Agama Islam Ma'arif NU"
"1583","Institut Kesenian Jakarta - LPKJ"
"1584","Politeknik Indonesia Venezuela"
"1585","Politeknik Negeri Pontianak"
"1586","Politeknik Pusmanu"
"1587","Sekolah Tinggi Agama Islam Al‐Hikmah Medan"
"1588","Sekolah Tinggi Farmasi Bandung"
"1589","Sekolah Tinggi Filsafat Fajar Timur"
"1590","Sekolah Tinggi Filsafat Katolik Ledalero"
"1591","STIE Akuntansi dan Bisnis Internasional"
"1592","STIE Bangkinang"
"1593","STIE Bisma Lepisi"
"1594","STIE Ichsan"
"1595","STIE Media Nusantara Cipta"
"1596","STIE Muhammadiyah Jambi"
"1597","STIE Nu Trate"
"1598","STIE Pariwisata Indonesia"
"1599","STIE Sakti Alam Kerinci"
"1600","STIE Sebelas April"
"1601","STIE Sultan Agung"
"1602","STIE Sumbar"
"1603","STIE Tri Dharma Nusantara"
"1604","STIE Trinitas Sorong"
"1605","STIE Trisakti"
"1606","Sekolah Tinggi Ilmu Komputer PGRI Banyuwangi"
"1607","STIKES Al Irsyad Al Islamiyyah"
"1608","STIKES Avicenna"
"1609","STIKES Banyuwangi"
"1610","STIKES Insan Cendekia Husada Bojonegoro"
"1611","STIKES Pasapua Ambon"
"1612","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Kartika Bangsa"
"1613","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Muhammadiyah Sinjai"
"1614","Sekolah Tinggi Ilmu Sosial Politik Wira Bhakti"
"1615","Sekolah Tinggi Ilmu Syari'ah Al‐Hilal Sigli"
"1616","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Hatta Sjahrir Banda Naira"
"1617","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Insan Madani Airmolek"
"1618","STKIP Pelita Pratama"
"1619","STMIK Bandung Bali"
"1620","STMIK Pontianak"
"1621","Sekolah Tinggi Teknik Iskandar Thani"
"1622","Sekolah Tinggi Teknologi Informatika Sony Sugema"
"1623","STIA Lppn"
"1624","STIE Jaya Negara"
"1625","STIKES Darussalam Lhokseumawe"
"1626","STIKES Hakli"
"1627","STIKES Stella Maris Makassar"
"1628","STIMIK Lamappapoleonro"
"1629","STISIP Padang"
"1630","STISIP Pancasakti"
"1631","STISIP Petta Baringeng Soppeng"
"1632","STKIP Al Hikmah Surabaya"
"1633","STKIP Al Maksum"
"1634","STKIP Babunnajah Pandeglang"
"1635","STKIP Hunimua"
"1636","STKIP Invada Cirebon"
"1637","STKIP Nusa Bunga florestimurta"
"1638","STKIP Purnama"
"1639","STKIP Qamarul Huda"
"1640","STMIK Adhi Guna"
"1641","STMIK AKBA"
"1642","STMIK Budi Darma"
"1643","STMIK Inti Indonesia"
"1644","STMIK Kristen Neumann Indonesia"
"1645","STMIK Likmi"
"1646","STMIK Masa Depan"
"1647","STMIK Satyagama"
"1648","STMIK Surya Intan"
"1649","STMIK Swadharma"
"1650","STMIK Widuri"
"1651","Universitas Atma Jaya Yogyakarta"
"1652","Universitas Airlangga"
"1653","Universitas Al‐azhar Indonesia"
"1654","Universitas Dayanu Ikhsanuddin"
"1655","Universitas Islam Raden Rahmat"
"1656","Universitas Islam Sumatera Utara"
"1657","Universitas Lampung"
"1658","Universitas Mataram"
"1659","Universitas Muhammadiyah Sukabumi"
"1660","Universitas Nahdlatul Ulama Sulawesi Tenggara"
"1661","Universitas Pandanaran"
"1662","Universitas Prima Indonesia"
"1663","Universitas Veteran Bangun Nusantara"
"1664","Akademi Akuntansi Borobudur"
"1665","Akademi Akuntansi Lampung"
"1666","Akademi Akuntansi YKPN"
"1667","Akademi Bahasa Asing Bina Insan Indonesia"
"1668","Akademi Bahasa Asing Dian Cipta Cendikia"
"1669","Akademi Bahasa Asing Dian Cipta Cendikia Kotabumi"
"1670","Akademi Bahasa Asing Saint Mary"
"1671","Akademi Bahasa Asing Sinema Yogyakarta"
"1672","Akademi Bahasa Asing UMI Makassar"
"1673","Akademi Farmasi Al‐Fatah Bengkulu"
"1674","Akademi Farmasi Bumi Siliwangi"
"1675","Akademi Farmasi Indah Deli Serdang"
"1676","Akademi Farmasi Indonesia Yogyakarta"
"1677","Akademi Farmasi Muhammadiyah Kabupaten Kuningan"
"1678","Akademi Gizi Andalusia"
"1679","Akademi Hiperkes Makassar"
"1680","Akademi Kebidanan Al‐Su'aibah Palembang"
"1681","Akademi Kebidanan Bina Husada Tebing Tinggi"
"1682","Akademi Kebidanan Bunda Auni Bogor"
"1683","Akademi Kebidanan Global Medika"
"1684","Akademi Kebidanan Keluarga Bunda Jambi"
"1685","Akademi Kebidanan Kharisma Husada Binjai"
"1686","Akademi Kebidanan Kutai Husada"
"1687","Akademi Kebidanan Pidie Jaya"
"1688","Akademi Kebidanan Reformasi"
"1689","Akademi Kebidanan Satu Enam Lima"
"1690","Akademi Kebidanan Surya Mandiri Kota Bima"
"1691","Akademi Kebidanan Tri Dharma Bandung"
"1692","Akademi Kebidanan Yaspen Tugu Ibu"
"1693","Akademi Kebidanan YYS Pendidikan Dr Rusdi Medan"
"1694","Akademi Keperawatan Abulyatama"
"1695","Akademi Keperawatan Al-Hambra Makassar"
"1696","Akademi Keperawatan Bas Balimbingan Pematang Siantar"
"1697","Akademi Keperawatan Batari Toja Watampone"
"1698","Akademi Keperawatan Berkala Widya Husada"
"1699","Akademi Keperawatan Bethesda Tomohon"
"1700","Akademi Keperawatan Bunda Delima"
"1701","Akademi Keperawatan Dharma Husada Pekanbaru"
"1702","Akademi Keperawatan HKBP Balige"
"1703","Akademi Keperawatan Islamic Village"
"1704","Akademi Keperawatan Jambi"
"1705","Akademi Keperawatan Kesdam IX Udayana"
"1706","Akademi Keperawatan Nazhatut Thullab Sampang"
"1707","Akademi Keperawatan Pragolopati"
"1708","Akademi Keperawatan Purna Bhakti Husada"
"1709","Akademi Keperawatan RS Husada"
"1710","Akademi Keperawatan Rumah Sakit Marthen Indey"
"1711","Akademi Keperawatan Saifuddin Zuhri"
"1712","Akademi Keperawatan Sari Mutiara Medan"
"1713","Akademi Keperawatan Sawerigading Pemda Luwu"
"1714","Akademi Keperawatan Serulingmas"
"1715","Akademi Keperawatan Yakpermas Banyumas"
"1716","Akademi Kesehatan Arga Husada"
"1717","Akademi Kesehatan Gigi Ditkesad Jakarta"
"1718","Akademi Kesehatan Gigi Karya Adi Husada Mataram"
"1719","Akademi Kesehatan Karya Husada Yogyakarta"
"1720","Akademi Kesehatan Yayasan Sapta Bakti Bengkulu"
"1721","Akademi Keuangan dan Perbankan Graha Arta Khatulistiwa"
"1722","Akademi Komputer Mall Cendikia"
"1723","Akademi Komunitas Diaspora Bung Karno Wamena"
"1724","Akademi Komunitas Manajemen Perhotelan Indonesia"
"1725","Akademi Komunitas Perkebunan Yogyakarta"
"1726","Akademi Komunitas Semen Indonesia"
"1727","Akademi Manajemen Administrasi Yogyakarta"
"1728","Akademi Maritim Ganesha Yogyakarta"
"1729","Akademi Maritim Indonesia Samarinda"
"1730","Akademi Pariwisata Air Madidi"
"1731","Akademi Pariwisata BSI Yogyakarta"
"1732","Akademi Pariwisata dan Perhotelan Ganesha"
"1733","Akademi Pariwisata Gsp Internasional"
"1734","Akademi Pariwisata Jakarta International Hotel"
"1735","Akademi Pariwisata Muhammadiyah Aceh"
"1736","Akademi Pariwisata Nasional Indonesia Bandung"
"1737","Akademi Pariwisata Nasional Jakarta"
"1738","Akademi Pariwisata NHI Bandung"
"1739","Akademi Pariwisata Paramitha Jakarta"
"1740","Akademi Pariwisata Taman Harapan"
